FULL ADDRESS,PARCEL_NO,X,Y,C.TRACT.,C.BLOCK.,CASE#,V.I.D,VIOLATION TYPE,ISSUED,COMP_TYPE
533  RIDGEWAY AV,010600020216,1402137,420784,,,B201907752,BCOE411,REPAIR SIDING, 11/06/2019,CBHCODE
533  RIDGEWAY AV,010600020216,1402137,420784,,,B201907752,BCOE414,REPAIR WINDOWS, 11/06/2019,CBHCODE
533  RIDGEWAY AV,010600020216,1402137,420784,,,B201907752,BCOE412,WEATHERTIGHT EXTERIOR, 11/06/2019,CBHCODE
1435  MAIN ST,008000010159,1397451,411486,10.00,1003,B202301177,BHA13002,REPAIR ROOFS, 05/01/2023,CBHCODE
1435  MAIN ST,008000010159,1397451,411486,10.00,1003,B202301177,CD07551834,DEFECTIVE GAS LINES, 05/01/2023,CBHCODE
1435  MAIN ST,008000010159,1397451,411486,10.00,1003,B202301177,CD07551831,REPAIR WINDOWS, 05/01/2023,CBHCODE
1435  MAIN ST,008000010159,1397451,411486,10.00,1003,B202301177,CD07551830,WEATHERTIGHT EXTERIOR, 05/01/2023,CBHCODE
225  ORCHARD ST,007500040115,1397870,411337,10.00,1006,B201806788,CD05188488,REPAIR LEAK AND DAMAGE, 10/02/2018,CBHCODE
225  ORCHARD ST,007500040115,1397870,411337,10.00,1006,B201800089,CD04767517,WEATHERTIGHT EXTERIOR, 01/11/2018,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B202202365,BCOE414,REPAIR WINDOWS, 05/27/2022,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B201900256,BCOE412,WEATHERTIGHT EXTERIOR, 01/24/2019,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B201900256,BCOE413,PAINT EXTERIOR, 01/24/2019,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B202202365,BCOE413,PAINT EXTERIOR, 05/27/2022,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B202202365,BCOE412,WEATHERTIGHT EXTERIOR, 05/27/2022,CBHCODE
1316  CLAY ST,008000020280,1397474,410815,10.00,1011,B201900256,BCOE414,REPAIR WINDOWS, 01/24/2019,CBHCODE
1304  MAIN ST,007500040037,1397758,410652,10.00,1013,B202103598,CD06585254,REPAIR WINDOWS, 07/19/2021,CBHCODE
209  WOODWARD ST,007500040047,1397810,410758,10.00,1014,B202105621,CD06822108,REPAIR LEAK AND DAMAGE, 12/27/2021,CBHCODE
209  WOODWARD ST,007500040047,1397810,410758,10.00,1014,B202105621,CD06822109,PAINT OR PAPER ROOMS, 12/27/2021,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202006110,CD06263356,REPAIR LAVATORY, 12/02/2020,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B201908585,CD05834421,PAINT OR PAPER ROOMS, 12/31/2019,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202004641,CD06174893,PAINT EXTERIOR, 09/18/2020,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202004641,CD06176856,PAINT OR PAPER ROOMS, 09/18/2020,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202006110,CD06263350,PAINT OR PAPER ROOMS, 12/02/2020,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202006110,CD06263354,INSECT AND RODENT CONTROL, 12/02/2020,CBHCODE
210 E 13TH ST,007500040044,1397843,410641,10.00,1014,B202006110,CD06263349,REPAIR LEAK AND DAMAGE, 12/02/2020,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202104911,CD06697104,TOILET ROOM SURFACES, 10/08/2021,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202104911,CD06697103,REPAIR BATH OR SHOWER, 10/08/2021,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202104911,CD06697101,PAINT OR PAPER ROOMS, 10/08/2021,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202104911,CD06697099,REPAIR WINDOWS, 10/08/2021,CBHCODE
1209  MAIN ST,008000020507,1397697,410310,10.00,2002,B202300948,CD07434180,REPAIR WINDOWS, 02/14/2023,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202302099,CD07492195,REPAIR ROOF, 05/09/2023,CBHCODE
1209  MAIN ST,008000020507,1397658,410305,10.00,2002,B202203579,CD07137174,REPAIR ROOF, 07/27/2022,CBHCODE
1126  WALNUT ST,00750004CD12,1397335,410079,10.00,2010,B202205589,BCOE631,FLUES TO BE CLEAN/UNOBSTRUCTED, 10/25/2022,CBHCODE
1126  WALNUT ST,00750004CD12,1397335,410079,10.00,2010,B202205589,BCOE668,DEFECTIVE GAS LINES, 10/25/2022,CBHCODE
100 E CENTRAL PKWY,007500040162,1397387,409787,10.00,2015,B202002381,CD05968003,DEFECTIVE PLUMBING LINES, 05/07/2020,CBHCODE
18 E 15TH ST,008000010036,1396802,411445,10.00,3002,B201803431,CD04931982,REPAIR WATER CLOSET (TOILET), 05/03/2018,CBHCODE
1344  VINE ST,008000020206,1396723,410951,10.00,3008,B202201320,CD06901830,REPAIR LAVATORY, 03/01/2022,CBHCODE
1344  VINE ST,008000020206,1396723,410951,10.00,3008,B202201320,CD06901833,REPAIR SINK, 03/01/2022,CBHCODE
1344  VINE ST,008000020206,1396723,410951,10.00,3008,B202201320,CD06901832,TOILET ROOM SURFACES, 03/01/2022,CBHCODE
1344  VINE ST,008000020206,1396724,410955,10.00,3008,B202104526,CD06661382,PAINT OR PAPER ROOMS, 08/31/2021,CBHCODE
1344  VINE ST,008000020206,1396724,410955,10.00,3008,B202104526,CD06661384,REPAIR LAVATORY, 08/31/2021,CBHCODE
2201  HARRISON AV,021300010025,1380379,419676,100.01,1000,B201905985,BCOE605,REPAIR LEAK AND DAMAGE, 08/14/2019,CBHCODE
2201  HARRISON AV,021300010025,1380379,419676,100.01,1000,B201905985,BCOE625,REPAIR SINK, 08/14/2019,CBHCODE
2201  HARRISON AV,021300010025,1380379,419676,100.01,1000,B201802137,CD04890572,PAINT OR PAPER ROOMS, 04/05/2018,CBHCODE
2203  HARRISON AV,021300010025,1380356,419679,100.01,1000,B202103062,CD06574272,VACATE THE BUILDING, 07/02/2021,CBHCODE
2206  CHAMPLAIN ST,020500230072,1380081,417811,100.01,1000,B201802239,BCOE669,RESPONSIBILITIES OF OCCUPANTS, 02/28/2018,CBHCODE
2206  CHAMPLAIN ST,020500230072,1380081,417811,100.01,1000,B201802239,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 02/28/2018,CBHCODE
2206  CHAMPLAIN ST,020500230072,1380081,417811,100.01,1000,B201802239,BCOE413,PAINT EXTERIOR, 02/28/2018,CBHCODE
2215  HARRISON AV,021300010009,1380180,419757,100.01,1000,B201904031,CD05508643,REPAIR SINK, 05/15/2019,CBHCODE
2215  HARRISON AV,021300010009,1380180,419757,100.01,1000,B201904031,CD05508642,REPAIR BATH OR SHOWER, 05/15/2019,CBHCODE
2215  SHASTA PL,021300010016,1379841,419245,100.01,1000,B201805214,BCOE400,REPAIR ROOF, 08/31/2018,CBHCODE
2215  SHASTA PL,021300010016,1379841,419245,100.01,1000,B201805214,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 08/31/2018,CBHCODE
2217  HARRISON AV,021300010009,1380158,419760,100.01,1000,B201905395,CD05604980,REPAIR BATH OR SHOWER, 07/16/2019,CBHCODE
2217  HARRISON AV,021300010009,1380158,419760,100.01,1000,B202204145,CD07167925,VACATE THE APARTMENT, 08/04/2022,CBHCODE
2265  HARRISON AV,021300030006,1379764,420363,100.01,1000,B202202624,BCOE414,REPAIR WINDOWS, 06/02/2022,CBHCODE
2265  HARRISON AV,021300030006,1379764,420363,100.01,1000,B202002396,CD05962781,REPAIR LEAK AND DAMAGE, 05/04/2020,CBHCODE
2265  HARRISON AV,021300030006,1379764,420363,100.01,1000,B202002396,CD05962782,DEFECTIVE PLUMBING LINES, 05/04/2020,CBHCODE
2265  HARRISON AV,021300030006,1379764,420363,100.01,1000,B202002396,CD05962784,REPAIR ROOF, 05/04/2020,CBHCODE
2281  HARRISON AV,021300030005,1379740,420444,100.01,1000,B202301585,CD07483537,DEFECTIVE PLUMBING LINES, 03/20/2023,CBHCODE
2285  HARRISON AV,021300030004,1379707,420466,100.01,1000,B201801942,BCOE413,PAINT EXTERIOR, 02/12/2018,CBHCODE
2285  HARRISON AV,021300030004,1379707,420466,100.01,1000,B201801942,CD04808206,REPAIR GUTTERS AND DOWNSPOUTS, 02/12/2018,CBHCODE
2295  WOLFF ST,020700530035,1378941,419911,100.01,1000,B201800068,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 01/17/2018,CBHCODE
2295  WOLFF ST,020700530035,1378941,419911,100.01,1000,B201800068,BCOE411,REPAIR SIDING, 01/17/2018,CBHCODE
2295  WOLFF ST,020700530035,1378941,419911,100.01,1000,B201800068,BCOE413,PAINT EXTERIOR, 01/17/2018,CBHCODE
2301  HARRISON AV,020700530105,1379479,420712,100.01,1000,B201904250,BCOE667,INSECT AND RODENT CONTROL, 05/30/2019,CBHCODE
2301  HARRISON AV,020700530105,1379479,420712,100.01,1000,B201904250,CD05532591,REPAIR WATER CLOSET (TOILET), 05/30/2019,CBHCODE
2329  HARRISON AV,020700530117,1379238,420908,100.01,1000,B201905405,BCOE606,PAINT OR PAPER ROOMS, 07/22/2019,CBHCODE
2329  HARRISON AV,020700530117,1379238,420908,100.01,1000,B201905405,BCOE667,INSECT AND RODENT CONTROL, 07/22/2019,CBHCODE
2329  HARRISON AV,020700530117,1379238,420908,100.01,1000,B201905405,CD05618123,REPAIR LEAK AND DAMAGE, 07/22/2019,CBHCODE
2329  HARRISON AV,020700530117,1379238,420908,100.01,1000,B201803928,CD04994019,REPAIR LEAK AND DAMAGE, 06/08/2018,CBHCODE
2373  HARRISON AV,020800580117,1378728,420946,100.01,1000,B202205169,CD07257995,PAINT OR PAPER ROOMS, 09/30/2022,CBHCODE
2373  HARRISON AV,020800580117,1378728,420946,100.01,1000,B202205169,CD07257996,REPAIR WATER CLOSET (TOILET), 09/30/2022,CBHCODE
2389  HARRISON AV,020800580001,1378840,421494,100.01,1000,B202300086,CD07397196,REPAIR WINDOWS, 01/17/2023,CBHCODE
2389  HARRISON AV,020800580001,1378840,421494,100.01,1000,B202300086,CD07397199,REPAIR DRYER VENT, 01/17/2023,CBHCODE
2389  HARRISON AV,020800580001,1378840,421494,100.01,1000,B202203446,CD07115990,REPAIR WINDOWS, 07/08/2022,CBHCODE
2389  HARRISON AV,020800580001,1378840,421494,100.01,1000,B202203446,CD07115991,REPAIR WATER CLOSET (TOILET), 07/08/2022,CBHCODE
2399  HARRISON AV,020800580004,1378758,421634,100.01,1000,B202000054,CD05849418,REPAIR LEAK AND DAMAGE, 01/15/2020,CBHCODE
2399  HARRISON AV,020800580004,1378758,421634,100.01,1000,B202000054,CD05849419,PAINT OR PAPER ROOMS, 01/15/2020,CBHCODE
2399  HARRISON AV,020800580004,1378758,421634,100.01,1000,B202006102,BCOE619,REPAIR WATER CLOSET (TOILET), 01/11/2021,CBHCODE
2419  HOMESTEAD PL,020500230133,1380328,418420,100.01,1000,B201904490,BCOE667,INSECT AND RODENT CONTROL, 06/18/2019,CBHCODE
2419  HOMESTEAD PL,020500230133,1380328,418420,100.01,1000,B201904490,CD05561836,REPAIR LEAK AND DAMAGE, 06/18/2019,CBHCODE
2500  FORTHMANN PL,020700530030,1379021,419630,100.01,1000,B202001148,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 02/25/2020,CBHCODE
2500  FORTHMANN PL,020700530030,1379021,419630,100.01,1000,B202001148,BCOE413,PAINT EXTERIOR, 02/25/2020,CBHCODE
2500  FORTHMANN PL,020700530030,1379021,419630,100.01,1000,B202001148,CD05898181,DRAINAGE OF PAVING REQUIRED, 02/25/2020,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B201907462,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 10/30/2019,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B201907462,BCOE413,PAINT EXTERIOR, 10/30/2019,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B201907462,BCOE617,REPAIR BATH OR SHOWER, 10/30/2019,CBHCODE
